"id","profileName","text","date","title","rating","images","helpful"
"R1ACBZIGJRS20F","Rohan Bose","Very Easy to understand about how can Business work","Reviewed in India on 27 April 2020","Great Book",5,"",0
"RW1VUI9727BU7","Arindam Paul","People say it contains all the 2 year's MBA in one book. I say it contains more. Thanks to Mr. Atishya Jain for reselling the book. Great read!","Reviewed in India on 12 August 2017","The Last Word in Management Studies",5,"","11"
"R2JROYRBV50844","Tanisha Madhu","Its a beautiful book","Reviewed in India on 24 September 2020","Learned alot from this book",5,"",0
"R226S9OT0R117H","Jay prakash","As good as new","Reviewed in India on 24 September 2020","As good as new",5,"",0
"R50Q1VYP9USEW","Amazon Customer","This is the best book for understanding the basics of marketing management..specially for a novice..","Reviewed in India on 12 September 2017","Four Stars",4,"",1
"R3MAO2HCUTVIV8","Amazon Customer","The book is very nice with glossy and colourful papers. Worth the price. I was thinking of taking a print and reading. But now, I dont regret bying it","Reviewed in India on 25 July 2016","Good quality print and papers",5,"",1
"R1I940JPDE31TG","Mayukh","I think this is an amazing book. It not only teaches you marketing but also business as a whole. I think this is apt for anyone, newbies and experts alike.","Reviewed in India on 1 August 2016","A must have for an entrepreneur!!",5,"","7"
"R26T4SMARJKN9I","raj jaiswal","The ebook does not contain all the contents of the print version. Many major there's nad concepts are missing in e-book, like BCG, GE9 CELL, BRANDING and many more. Ultimately the print version was required for references.","Reviewed in India on 16 May 2020","Important theories and contents are missing compare to print version.",2,"",0
"R3SMNA05BUU3Q1","Shrisha Udupa","An astonishing book...","Reviewed in India on 31 July 2020","Bhagavad Gita of Business management...",5,"",0
"R6HOD45BFGY51","Amrit","Totally satisfied","Reviewed in India on 10 September 2020","Good",5,"",0
"R1SHG3TK7T6NN9","Amazon Customer","15th Edition is Update Edition and updated each and every examples as per the requirement.","Reviewed in India on 1 February 2017","Very Nice Book",4,"",1
"R2KIQ89IFDZ15","Vivek Sidagam","Very good product","Reviewed in India on 18 August 2018","Four Stars",4,"",0
